artist,data-has-content,rank,song,year
Skeeter Davis ,true ,35 ,A Dear John Letter,1965
Merle Haggard ,true ,36 ,(My Friends Are Gonna Be) Strangers,1965
Roger Miller ,true ,37 ,Engine Engine #9,1965
Roy Drusky ,false ,38 ,Yes, Mr. Peters,1965
Hank Locklin ,true ,39 ,Forty Nine, Fifty One,1965
Norma Jean ,true ,40 ,I Cried All The Way To The Bank,1965
Faron Young ,true ,41 ,Walk Tall,1965
Connie Smith ,true ,42 ,Tiny Blue Transistor Radio,1965
Willie Nelson ,true ,43 ,She's Not For You,1965
Ned Miller ,true ,44 ,Do What You Do Do Well,1965
Jody Miller ,false ,45 ,Queen Of The House,1965
Roy Acuff ,true ,46 ,Freight Train Blues,1965
Dottie West ,true ,47 ,Gettin' Married Has Made Us Strangers,1965
Wilburn Brothers ,false ,48 ,I Had One Too Many,1965
Warner Mack ,false ,49 ,The Bridge Washed Out,1965
Tex Williams ,false ,50 ,Too Many Tigers,1965
Jim Reeves ,true ,1 ,Distant Drums,1966
Sonny James ,true ,2 ,Take Good Care Of Her,1966
Buddy Starcher ,true ,3 ,History Repeats Itself,1966
Bill Anderson ,true ,4 ,I Love You Drops,1966
Warner Mack ,true ,5 ,Talkin' To The Wall,1966
The Harden Trio ,true ,6 ,Tippy Toeing,1966
Dottie West ,true ,7 ,Would You Hold It Against Me,1966
Bill Phillips ,true ,8 ,Put It Off Until Tomorrow,1966
Bonnie Guitar ,true ,9 ,I'm Living In Two Worlds,1966
Jimmy Newman ,true ,10 ,Back Pocket Money,1966
Jeannie Seely ,true ,11 ,Don't Touch Me,1966
George Jones ,true ,12 ,I'm A People,1966
Jean Shepard ,true ,13 ,Many Happy Hangovers To You,1966
Eddy Arnold ,true ,14 ,I Want To Go With You,1966
Claude King ,true ,15 ,Catch A Little Raindrop,1966
Ray Price ,true ,16 ,A Way To Survive,1966
Johnny Cash ,true ,17 ,The One On The Right Is On The Left,1966
Conway Twitty ,true ,18 ,Guess My Eyes Were Bigger Than My Heart,1966
Johnny Dollar ,true ,19 ,Stop The Start (Of Tears In My Heart),1966
Merle Haggard ,true ,20 ,Swinging Doors,1966
Wilburn Brothers ,true ,21 ,Someone Before Me,1966
Connie Smith ,true ,22 ,Nobody But A Fool (Would Love You),1966
Liz Anderson ,true ,23 ,Go Now Pay Later,1966
Slim Whitman ,true ,24 ,The Twelfth Of Never,1966
Stonewall Jackson ,true ,25 ,The Minute Men (Are Turning In Their Graves),1966
Roy Drusky ,true ,26 ,Rainbows And Roses,1966
Porter Wagoner ,true ,27 ,I Just Came To Smell The Flowers,1966
Norma Jean ,true ,28 ,The Shirt,1966
Eddy Arnold ,true ,29 ,The Last Word In Lonesome Is Me,1966
Don Gibson ,true ,30 ,(Yes) I'm Hurting,1966
Wilma Burgess ,true ,31 ,Don't Touch Me,1966
